text,true_emotion,predicted_emotion
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger,sadness
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger,anger
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,joy
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger,sadness
The rage has died down.,anger,sadness
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy,anger,anger
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger
Lol little things like that make me so angry x,anger,anger
@LiamCannon1 He's just too raging to type properly... Ha ha!,anger,joy
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,anger
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger,anger
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,anger
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger,anger
"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger,anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger,joy
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger
"@chutneysupercat hi lovely brownie, MM is calling me tuppytupperware.. its awful",fear,sadness
Watching It Follows.  This is a super freaky movie.  #scary,fear,fear
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,fear,anger
@lukeshawtime terrible,fear,sadness
"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.",fear,anger
